block,row_index,file_pc,cpu_addr_hirom,bytes,macro_parse,op38_operand_le16,opcode02_subcode,tail_after_02,tail_word0_le,tail_word1_le,tail_word1_as_file_0x30000_plus,tail_word1_as_hirom_cpu
A,0,0x039847,83:9847,38 05 01 01 32 03 01 9A F0,,0x0105,,,,,,
A,1,0x039850,83:9850,38 05 01 02 32 10 07 9A F0,38 05 01 / 02 32 / 10 07 9A F0,0x0105,32,10 07 9A F0,0x0710,0xF09A,0x03F09A,83:F09A
A,2,0x039859,83:9859,38 05 01 04 32 1A 0A 9A F0,,0x0105,,,,,,
A,3,0x039862,83:9862,38 05 01 06 32 27 10 9A F0,,0x0105,,,,,,
A,4,0x03986B,83:986B,38 05 01 09 32 3F 17 9A F0,,0x0105,,,,,,
A,5,0x039874,83:9874,38 05 01 0B 32 51 1B 9A F0,,0x0105,,,,,,
A,6,0x03987D,83:987D,38 05 01 0B 32 5A 1D 9A F0,,0x0105,,,,,,
A,7,0x039886,83:9886,38 05 01 18 32 D1 36 9A F0,,0x0105,,,,,,
A,8,0x03988F,83:988F,38 05 01 0A 32 48 19 9A F0,,0x0105,,,,,,
A,9,0x039898,83:9898,38 05 01 14 32 AE 2F 9A F0,,0x0105,,,,,,
A,10,0x0398A1,83:98A1,38 05 01 0C 32 63 1F 9A F0,,0x0105,,,,,,
A,11,0x0398AA,83:98AA,38 05 01 0E 35 0E 07 9A F0,,0x0105,,,,,,
A,12,0x0398B3,83:98B3,38 05 01 08 32 36 15 9A F0,,0x0105,,,,,,
A,13,0x0398BC,83:98BC,38 05 01 12 32 9C 2B 9A F0,,0x0105,,,,,,
A,14,0x0398C5,83:98C5,38 05 01 10 32 8A 27 9A F0,,0x0105,,,,,,
A,15,0x0398CE,83:98CE,38 05 01 0F 32 81 25 9A F0,,0x0105,,,,,,
A,16,0x0398D7,83:98D7,38 05 01 11 32 93 29 9A F0,,0x0105,,,,,,
A,17,0x0398E0,83:98E0,38 05 01 13 32 A5 2D 9A F0,,0x0105,,,,,,
A,18,0x0398E9,83:98E9,38 05 01 16 32 C0 33 9A F0,,0x0105,,,,,,
A,19,0x0398F2,83:98F2,38 05 01 15 32 B7 31 9A F0,,0x0105,,,,,,
A,20,0x0398FB,83:98FB,38 05 01 19 35 1B 0A 9A F0,,0x0105,,,,,,
A,21,0x039904,83:9904,38 05 01 1A 35 2A 0F 9A F0,,0x0105,,,,,,
A,22,0x03990D,83:990D,38 05 01 1B 35 33 11 9A F0,,0x0105,,,,,,
B,0,0x039916,83:9916,38 05 01 01 32 04 01 DB F0,,0x0105,,,,,,
B,1,0x03991F,83:991F,38 05 01 02 32 11 07 DB F0,38 05 01 / 02 32 / 11 07 DB F0,0x0105,32,11 07 DB F0,0x0711,0xF0DB,0x03F0DB,83:F0DB
B,2,0x039928,83:9928,38 05 01 04 32 1B 0A DB F0,,0x0105,,,,,,
B,3,0x039931,83:9931,38 05 01 06 32 28 10 DB F0,,0x0105,,,,,,
B,4,0x03993A,83:993A,38 05 01 09 32 40 17 DB F0,,0x0105,,,,,,
B,5,0x039943,83:9943,38 05 01 0B 32 52 1B DB F0,,0x0105,,,,,,
B,6,0x03994C,83:994C,38 05 01 0B 32 5B 1D DB F0,,0x0105,,,,,,
B,7,0x039955,83:9955,38 05 01 18 32 D2 36 DB F0,,0x0105,,,,,,
B,8,0x03995E,83:995E,38 05 01 0A 32 49 19 DB F0,,0x0105,,,,,,
B,9,0x039967,83:9967,38 05 01 14 32 AF 2F DB F0,,0x0105,,,,,,
B,10,0x039970,83:9970,38 05 01 0C 32 64 1F DB F0,,0x0105,,,,,,
B,11,0x039979,83:9979,38 05 01 0E 35 0F 07 DB F0,,0x0105,,,,,,
B,12,0x039982,83:9982,38 05 01 08 32 37 15 DB F0,,0x0105,,,,,,
B,13,0x03998B,83:998B,38 05 01 12 32 9D 2B DB F0,,0x0105,,,,,,
B,14,0x039994,83:9994,38 05 01 10 32 8B 27 DB F0,,0x0105,,,,,,
B,15,0x03999D,83:999D,38 05 01 0F 32 82 25 DB F0,,0x0105,,,,,,
B,16,0x0399A6,83:99A6,38 05 01 11 32 94 29 DB F0,,0x0105,,,,,,
B,17,0x0399AF,83:99AF,38 05 01 13 32 A6 2D DB F0,,0x0105,,,,,,
B,18,0x0399B8,83:99B8,38 05 01 16 32 C1 33 DB F0,,0x0105,,,,,,
B,19,0x0399C1,83:99C1,38 05 01 15 32 B8 31 DB F0,,0x0105,,,,,,
B,20,0x0399CA,83:99CA,37 05 01 19 35 1C 0A C6 F0,,,,,,,,
B,21,0x0399D3,83:99D3,37 05 01 1A 35 2B 0F CD F0,,,,,,,,
B,22,0x0399DC,83:99DC,37 05 01 1B 35 34 11 D4 F0,,,,,,,,
tail,0,0x0399E5,83:99E5,0C 05 04 26 35 3B 00 B1 F0,,,,,,,,
tail,1,0x0399EE,83:99EE,10 00 41 45 31 16 00 1D F1,,,,,,,,
tail,2,0x0399F7,83:99F7,2C 05 01 2F 17 54 00 36 F1,,,,,,,,
tail,3,0x039A00,83:9A00,0B 00 3C 41 31 0E 00 D0 F1,,,,,,,,
tail,4,0x039A09,83:9A09,0B 00 3C 41 31 0E 00 2B F2,,,,,,,,
tail,5,0x039A12,83:9A12,0B 00 3C 41 31 0E 00 E7 F2,,,,,,,,
tail,6,0x039A1B,83:9A1B,0B 00 3F 43 30 00 00 0A F1,,,,,,,,
tail,7,0x039A24,83:9A24,10 05 09 2B 37 27 0E 22 E8,,,,,,,,
tail,8,0x039A2D,83:9A2D,10 05 01 2B 37 29 0E A3 F3,,,,,,,,
tail,9,0x039A36,83:9A36,10 05 09 30 37 6C 00 B6 F3,,,,,,,,
tail,10,0x039A3F,83:9A3F,02 05 09 30 07 6D 00 D0 F3,,,,,,,,
tail,11,0x039A48,83:9A48,2C 05 09 30 37 6C 00 22 E8,,,,,,,,
tail,12,0x039A51,83:9A51,2C 05 09 30 37 6E 00 22 E8,,,,,,,,
tail,13,0x039A5A,83:9A5A,0B 05 01 21 33 71 1D D9 F3,,,,,,,,
tail,14,0x039A63,83:9A63,0B 05 01 21 33 77 1E 72 F4,,,,,,,,
tail,15,0x039A6C,83:9A6C,0B 05 01 21 33 79 1F 41 F5,,,,,,,,
