path,kind,note
COMMIT_COMMANDS_VOL016_GRAPHICS_CONTINUE_RUN2_20260502.sh,file,included in final graphics handover package
COMMIT_COMMANDS_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.sh,file,included in final graphics handover package
README_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.md,file,included in final graphics handover package
README_VOL016_GRAPHICS_FINAL_HANDOVER_20260503.md,file,included in final graphics handover package
data/csv/battle_oam_chr_region_schema_20260503.csv,file,included in final graphics handover package
data/csv/current_vram_region_summary_20260502_run2.csv,file,included in final graphics handover package
data/csv/current_vram_tilemap_candidate_scores_20260502_run2.csv,file,included in final graphics handover package
data/csv/field_metatile_schema_20260503.csv,file,included in final graphics handover package
data/csv/final_goal_progress_reconciled_20260503.csv,file,included in final graphics handover package
data/csv/map_validation_report_schema_20260503.csv,file,included in final graphics handover package
data/csv/metatile_graph_schema_20260503.csv,file,included in final graphics handover package
data/csv/oam_chr_mapping_schema_20260503.csv,file,included in final graphics handover package
data/csv/reconstructed_map_schema_20260503.csv,file,included in final graphics handover package
data/csv/runtime_bridge_from_graphics_unified_schema_20260503.csv,file,included in final graphics handover package
data/csv/sprite_cluster_schema_20260503.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/bg_summary.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/dma_trigger_log.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/frame_summary.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/manifest.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/ppu_regs_capture.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/ppu_write_log.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/visible_object_summary.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/visible_objects.csv,file,included in final graphics handover package
data/runtime_logs/current_after_merge_sample/vram.bin,file,included in final graphics handover package
docs/graphics/BATTLE_CHR_OAM_ATTRIBUTION_PLAN_VOL016_20260503.md,file,included in final graphics handover package
docs/graphics/DMA_SEQUENCE_SYNCHRONIZATION_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/FINAL_DATA_LAYOUT_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/FINAL_GRAPHICS_RECONSTRUCTION_PIPELINE_20260503.md,file,included in final graphics handover package
docs/graphics/MAPCHIP_CANONICALIZATION_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/MAPCHIP_METATILE_GRAPH_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/MAP_LAYOUT_RECONSTRUCTION_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/MAP_VALIDATION_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/METATILE_SEMANTICS_SPEC_20260503.md,file,included in final graphics handover package
docs/graphics/SPRITE_ATLAS_PIPELINE_RUN8.md,file,included in final graphics handover package
docs/graphics/SPRITE_CLUSTERING_AND_CHR_RECONSTRUCTION_PLAN_20260503.md,file,included in final graphics handover package
docs/graphics/SPRITE_PNG_RECONSTRUCTION_PIPELINE_20260503.md,file,included in final graphics handover package
docs/graphics/SPRITE_RENDERER_SYNC_SPEC_RUN10.md,file,included in final graphics handover package
docs/graphics/STABLE_SPRITE_PNG_PIPELINE_RUN7.md,file,included in final graphics handover package
docs/graphics/STATUS_RECONCILIATION_AND_CAVEATS_20260503.md,file,included in final graphics handover package
docs/graphics/VRAM_LAYOUT_CLASSIFICATION_20260502_RUN2.md,file,included in final graphics handover package
docs/handover/GOAL_PROGRESS_VOL016_GRAPHICS_CONTINUE_RUN2_20260502.csv,file,included in final graphics handover package
docs/handover/GOAL_PROGRESS_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.csv,file,included in final graphics handover package
docs/handover/GOAL_PROGRESS_VOL016_GRAPHICS_FINAL_20260503.csv,file,included in final graphics handover package
docs/handover/SHINMOMO_VOL016_GRAPHICS_CONTINUE_RUN2_20260502.md,file,included in final graphics handover package
docs/handover/SHINMOMO_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.md,file,included in final graphics handover package
docs/handover/SHINMOMO_VOL016_GRAPHICS_FINAL_HANDOVER_20260503.md,file,included in final graphics handover package
docs/handover/THREAD_REPORT_FOR_MERGE_20260503.md,file,included in final graphics handover package
docs/mapchip/FIELD_TILEMAP_METATILE_PIPELINE_AFTER_MERGE.md,file,included in final graphics handover package
graphics/battle/current_vram_0000_7fff_4bpp_chr_atlas_20260502_run2.png,file,included in final graphics handover package
graphics/battle/current_vram_4bpp_region_contact_sheet_20260502_run2.png,file,included in final graphics handover package
graphics/battle/current_vram_8000_ffff_4bpp_chr_atlas_20260502_run2.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank1_8000_char0000_2bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank2_8000_char0000_4bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank3_8000_char2000_2bpp.png,file,included in final graphics handover package
graphics/battle/current_vram_tilemap_candidate_rank4_8000_char2000_4bpp.png,file,included in final graphics handover package
manifest/EXCLUDED_FILES_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.csv,file,included in final graphics handover package
manifest/MANIFEST_VOL016_GRAPHICS_CONTINUE_RUN2_20260502.csv,file,included in final graphics handover package
manifest/MANIFEST_VOL016_GRAPHICS_DIFF_AFTER_MERGE_20260503.csv,file,included in final graphics handover package
tools/lua/shinmomo_graphics_mapchip_probe_v1_bizhawk_snes9x_20260501.lua,file,included in final graphics handover package
tools/lua/shinmomo_trace_graphics_runtime_bridge_v4_snes9x_20260503.lua,file,included in final graphics handover package
tools/python/analyze_vram_layout_candidates_v1.py,file,included in final graphics handover package
tools/python/build_field_metatiles_from_tilemap_v1.py,file,included in final graphics handover package
tools/python/build_metatile_graph_v1.py,file,included in final graphics handover package
tools/python/convert_graphics_unified_to_runtime_bridge_v1.py,file,included in final graphics handover package
tools/python/oam_chr_mapper_v1.py,file,included in final graphics handover package
tools/python/render_sprite_clusters_v1.py,file,included in final graphics handover package
tools/python/sprite_clusterer_v1.py,file,included in final graphics handover package
tools/python/validate_map_reconstruction_v1.py,file,included in final graphics handover package
